id,target
132030,0.004636
132031,0.013935
132032,0.005713
132033,0.005018
132034,0.022684
132035,0.008400
132036,0.002802
132037,0.018591
132038,0.041001
132039,0.010542
132040,0.003035
132041,0.022419
132042,0.004861
132043,0.004460
132044,0.009274
132045,0.003741
132046,0.019246
132047,0.017915
132048,0.013750
132049,0.007866
132050,0.002921
132051,0.004228
132052,0.009465
132053,0.004328
132054,0.003055
132055,0.005178
132056,0.004260
132057,0.004317
132058,0.001951
132059,0.009407
132060,0.004389
132061,0.008571
132062,0.004857
132063,0.048870
132064,0.007421
132065,0.009500
132066,0.003854
132067,0.008560
132068,0.013876
132069,0.003210
132070,0.003939
132071,0.012621
132072,0.011138
132073,0.002075
132074,0.005070
132075,0.017580
132076,0.003320
132077,0.005163
132078,0.012121
132079,0.003810
132080,0.008878
132081,0.005269
132082,0.004832
132083,0.006016
132084,0.004311
132085,0.012477
132086,0.003877
132087,0.019768
132088,0.003610
132089,0.005546
132090,0.009025
132091,0.013515
132092,0.005305
132093,0.003254
132094,0.032551
132095,0.006259
132096,0.028149
132097,0.002143
132098,0.021318
132099,0.008004
132100,0.003477
132101,0.007214
132102,0.002715
132103,0.006097
132104,0.009612
132105,0.003548
132106,0.002694
132107,0.022243
132108,0.005602
132109,0.011448
132110,0.004002
132111,0.019556
132112,0.003640
132113,0.004129
132114,0.005414
132115,0.018104
132116,0.014419
132117,0.033906
132118,0.005184
132119,0.006343
132120,0.003874
132121,0.003947
132122,0.009768
132123,0.004554
132124,0.004237
132125,0.004710
132126,0.026167
132127,0.036373
132128,0.002931
132129,0.003066
132130,0.012196
132131,0.015982
132132,0.011775
132133,0.005792
132134,0.004027
132135,0.003586
132136,0.006540
132137,0.004676
132138,0.018862
132139,0.002588
132140,0.009805
132141,0.008237
132142,0.007006
132143,0.010633
132144,0.005747
132145,0.004365
132146,0.003449
132147,0.017827
132148,0.007581
132149,0.003103
132150,0.015025
132151,0.010655
132152,0.002120
132153,0.009046
132154,0.009367
132155,0.005040
132156,0.005777
132157,0.008677
132158,0.017466
132159,0.006383
132160,0.004159
132161,0.016522
132162,0.023725
132163,0.021837
132164,0.007322
132165,0.002657
132166,0.005951
132167,0.004060
132168,0.032141
132169,0.008557
132170,0.006741
132171,0.004090
132172,0.003337
132173,0.007747
132174,0.003930
132175,0.014487
132176,0.003388
132177,0.005707
132178,0.007486
132179,0.006636
132180,0.005207
132181,0.004225
132182,0.002984
132183,0.006696
132184,0.013978
132185,0.015289
132186,0.007236
132187,0.012072
132188,0.005636
132189,0.010653
132190,0.005414
132191,0.010145
132192,0.004044
132193,0.026072
132194,0.013347
132195,0.003907
132196,0.002428
132197,0.004678
132198,0.010520
132199,0.002781
132200,0.004009
132201,0.004309
132202,0.018492
132203,0.010010
132204,0.006244
132205,0.008975
132206,0.002824
132207,0.012109
132208,0.007070
132209,0.014756
132210,0.007432
