id,target
132030,0.004068
132031,0.013982
132032,0.005283
132033,0.004716
132034,0.012850
132035,0.006507
132036,0.002634
132037,0.015721
132038,0.029383
132039,0.012978
132040,0.002608
132041,0.018323
132042,0.004123
132043,0.004716
132044,0.010541
132045,0.002774
132046,0.018749
132047,0.009400
132048,0.014440
132049,0.007901
132050,0.004468
132051,0.003389
132052,0.011445
132053,0.003414
132054,0.002137
132055,0.004341
132056,0.002228
132057,0.003190
132058,0.002527
132059,0.009099
132060,0.004467
132061,0.007653
132062,0.002627
132063,0.027044
132064,0.005620
132065,0.008092
132066,0.005006
132067,0.008927
132068,0.012439
132069,0.003116
132070,0.003977
132071,0.011827
132072,0.014971
132073,0.001802
132074,0.004822
132075,0.011444
132076,0.001943
132077,0.004017
132078,0.009404
132079,0.002440
132080,0.009887
132081,0.005268
132082,0.006346
132083,0.006251
132084,0.003069
132085,0.008817
132086,0.003982
132087,0.012669
132088,0.002458
132089,0.006021
132090,0.008148
132091,0.010624
132092,0.005717
132093,0.003003
132094,0.032503
132095,0.006613
132096,0.034670
132097,0.001648
132098,0.018567
132099,0.008802
132100,0.004483
132101,0.008093
132102,0.002244
132103,0.004794
132104,0.009373
132105,0.002513
132106,0.003224
132107,0.023024
132108,0.005940
132109,0.011449
132110,0.002953
132111,0.013415
132112,0.004569
132113,0.005079
132114,0.004663
132115,0.018805
132116,0.010923
132117,0.029124
132118,0.004061
132119,0.007338
132120,0.004746
132121,0.003624
132122,0.006224
132123,0.003750
132124,0.004800
132125,0.004219
132126,0.021235
132127,0.038407
132128,0.002339
132129,0.003128
132130,0.016708
132131,0.019359
132132,0.009479
132133,0.005455
132134,0.004092
132135,0.003935
132136,0.005595
132137,0.004662
132138,0.017357
132139,0.002446
132140,0.009080
132141,0.007644
132142,0.005781
132143,0.009695
132144,0.004462
132145,0.003973
132146,0.003198
132147,0.017116
132148,0.007305
132149,0.002930
132150,0.016321
132151,0.007394
132152,0.002661
132153,0.007712
132154,0.007893
132155,0.005000
132156,0.004323
132157,0.007683
132158,0.021127
132159,0.007414
132160,0.004904
132161,0.024529
132162,0.017878
132163,0.022704
132164,0.004627
132165,0.001672
132166,0.003954
132167,0.003400
132168,0.031731
132169,0.009103
132170,0.004909
132171,0.005308
132172,0.001838
132173,0.006936
132174,0.003193
132175,0.011097
132176,0.004071
132177,0.006249
132178,0.006217
132179,0.007820
132180,0.004897
132181,0.003428
132182,0.003205
132183,0.002459
132184,0.011504
132185,0.023886
132186,0.008302
132187,0.010989
132188,0.003789
132189,0.010172
132190,0.005037
132191,0.010844
132192,0.002769
132193,0.020269
132194,0.010717
132195,0.003746
132196,0.001988
132197,0.005859
132198,0.013629
132199,0.003401
132200,0.004887
132201,0.003065
132202,0.018430
132203,0.013550
132204,0.005077
132205,0.009365
132206,0.002699
132207,0.009939
132208,0.006747
132209,0.013694
132210,0.007341
132211,0.002592
132212,0.010197
132213,0.004473
132214,0.004599
132215,0.007143
132216,0.014397
132217,0.008664
132218,0.008090
132219,0.011979
132220,0.003478
132221,0.002291
132222,0.016653
132223,0.009798
132224,0.006436
132225,0.002339
132226,0.005970
132227,0.012972
132228,0.007904
132229,0.007551
132230,0.003471
132231,0.005304
132232,0.004114
132233,0.001271
132234,0.017572
132235,0.012929
132236,0.003179
132237,0.005407
132238,0.002339
132239,0.010286
132240,0.007035
132241,0.003920
132242,0.003522
132243,0.016426
132244,0.002689
132245,0.004277
132246,0.011659
132247,0.007400
132248,0.009595
132249,0.001287
132250,0.034522
132251,0.002141
132252,0.014932
132253,0.004713
132254,0.001538
132255,0.015431
132256,0.019471
132257,0.003592
132258,0.005937
132259,0.002385
132260,0.006605
132261,0.002456
132262,0.002943
132263,0.001762
132264,0.001725
132265,0.006575
132266,0.004085
132267,0.002313
132268,0.004515
132269,0.003108
132270,0.006762
132271,0.002000
132272,0.005215
132273,0.016266
132274,0.012806
132275,0.005588
132276,0.003150
132277,0.004388
132278,0.002689
132279,0.006374
132280,0.005370
132281,0.011324
132282,0.006232
132283,0.022140
132284,0.020437
132285,0.011904
132286,0.002401
132287,0.003825
132288,0.008834
132289,0.007008
132290,0.021090
132291,0.003136
132292,0.004765
132293,0.003778
132294,0.005044
132295,0.004971
132296,0.010364
132297,0.006014
132298,0.002966
132299,0.003179
132300,0.013229
132301,0.015232
132302,0.006825
132303,0.003542
132304,0.002171
132305,0.004914
132306,0.009498
132307,0.006056
132308,0.008015
132309,0.004258
132310,0.017508
132311,0.032725
132312,0.002161
132313,0.004070
132314,0.006393
132315,0.008420
132316,0.009712
132317,0.013283
132318,0.017068
132319,0.005833
132320,0.005271
132321,0.003847
132322,0.007671
132323,0.005892
132324,0.002631
132325,0.002564
132326,0.010052
132327,0.005852
132328,0.013433
132329,0.003666
132330,0.004559
132331,0.003212
132332,0.003505
132333,0.007170
132334,0.003248
132335,0.007655
132336,0.004704
132337,0.007199
132338,0.002705
132339,0.015190
132340,0.004901
132341,0.010650
132342,0.005695
132343,0.003960
132344,0.006939
132345,0.017456
132346,0.017338
132347,0.010229
132348,0.001394
132349,0.017482
132350,0.010470
132351,0.002458
132352,0.006628
132353,0.033975
132354,0.006622
132355,0.002663
132356,0.026735
132357,0.003229
132358,0.011283
132359,0.001400
132360,0.001726
132361,0.002002
132362,0.004430
132363,0.014573
132364,0.013032
132365,0.004199
132366,0.002431
132367,0.013944
132368,0.009035
132369,0.009942
132370,0.006073
132371,0.040796
132372,0.003903
132373,0.005805
132374,0.004628
132375,0.006194
132376,0.008044
132377,0.008558
132378,0.008122
132379,0.006631
132380,0.003361
132381,0.006617
132382,0.012617
132383,0.004171
132384,0.004684
132385,0.004712
132386,0.005943
132387,0.006132
132388,0.022984
132389,0.004529
132390,0.006919
132391,0.002128
132392,0.013307
132393,0.005554
132394,0.002503
132395,0.004317
132396,0.001840
132397,0.004663
132398,0.002435
132399,0.003807
132400,0.008355
132401,0.013209
132402,0.001688
132403,0.006185
132404,0.002162
132405,0.007605
132406,0.007564
132407,0.006947
132408,0.004864
132409,0.006873
132410,0.003320
132411,0.008788
132412,0.005532
132413,0.006383
132414,0.014605
132415,0.007077
132416,0.004116
132417,0.007656
132418,0.002465
132419,0.012649
132420,0.002617
132421,0.005052
132422,0.012700
132423,0.009255
132424,0.003529
132425,0.015578
132426,0.017240
132427,0.004718
132428,0.003107
132429,0.005440
132430,0.002660
132431,0.009634
132432,0.002761
132433,0.004397
132434,0.007981
132435,0.002495
132436,0.008268
132437,0.009413
132438,0.011230
132439,0.003886
132440,0.006840
132441,0.005787
132442,0.005758
132443,0.009845
132444,0.011197
132445,0.011158
132446,0.003436
132447,0.033787
132448,0.004801
132449,0.003580
132450,0.010950
132451,0.003960
132452,0.009252
132453,0.002231
132454,0.002366
132455,0.003724
132456,0.003702
132457,0.008820
132458,0.014559
132459,0.009834
132460,0.035792
132461,0.001760
132462,0.012388
132463,0.007071
132464,0.001410
132465,0.003836
132466,0.002479
132467,0.015125
132468,0.037190
132469,0.002996
132470,0.003206
132471,0.005162
132472,0.004147
132473,0.005898
132474,0.007484
132475,0.008080
132476,0.003371
132477,0.010078
132478,0.005853
132479,0.003354
132480,0.006440
132481,0.004978
132482,0.010365
132483,0.009832
132484,0.003078
132485,0.014562
132486,0.005654
132487,0.002870
132488,0.012740
132489,0.014921
132490,0.008950
132491,0.006345
132492,0.002972
132493,0.001848
132494,0.033774
132495,0.010736
132496,0.009115
132497,0.004703
132498,0.010517
132499,0.006097
132500,0.002415
132501,0.012465
132502,0.004789
132503,0.005170
132504,0.002969
132505,0.005125
132506,0.038788
132507,0.013742
132508,0.001702
132509,0.007885
132510,0.002492
132511,0.030946
132512,0.003688
132513,0.006886
132514,0.007124
132515,0.003363
132516,0.007406
132517,0.005199
132518,0.004844
132519,0.007212
132520,0.008724
132521,0.006511
132522,0.007033
132523,0.011576
132524,0.004633
132525,0.007191
132526,0.005740
132527,0.003710
132528,0.001634
132529,0.010597
132530,0.006983
132531,0.012723
132532,0.005775
132533,0.011321
132534,0.018641
132535,0.003738
132536,0.022446
132537,0.006375
132538,0.004075
132539,0.006301
132540,0.012774
132541,0.008703
132542,0.005393
132543,0.011480
132544,0.014052
132545,0.019073
132546,0.006726
132547,0.010535
132548,0.005917
132549,0.004860
132550,0.012108
132551,0.010295
132552,0.034632
132553,0.015683
132554,0.007629
132555,0.003788
132556,0.002546
132557,0.005396
132558,0.004613
132559,0.007500
132560,0.006419
132561,0.001937
132562,0.004962
132563,0.031024
132564,0.006688
132565,0.008465
132566,0.003980
132567,0.020551
132568,0.019731
132569,0.007028
132570,0.003078
132571,0.013382
132572,0.006637
132573,0.008005
132574,0.005257
132575,0.005218
132576,0.003017
132577,0.002577
132578,0.003751
132579,0.002321
132580,0.003946
132581,0.002939
132582,0.009588
132583,0.010419
132584,0.001878
132585,0.023321
132586,0.002513
132587,0.004753
132588,0.002422
132589,0.005047
132590,0.007823
132591,0.013316
132592,0.015748
132593,0.019029
132594,0.033053
132595,0.007815
132596,0.005357
132597,0.002719
132598,0.006777
132599,0.003074
132600,0.017921
132601,0.007029
132602,0.001728
132603,0.006739
132604,0.011560
132605,0.003978
132606,0.002519
132607,0.001982
132608,0.002527
132609,0.011785
132610,0.008203
132611,0.025539
132612,0.004959
132613,0.016729
132614,0.001585
132615,0.008698
132616,0.010443
132617,0.023768
132618,0.018228
132619,0.003389
132620,0.005875
132621,0.006668
132622,0.018867
132623,0.014014
132624,0.008919
132625,0.003290
132626,0.004141
132627,0.005124
132628,0.004138
132629,0.012257
132630,0.025148
132631,0.005245
132632,0.011063
132633,0.007739
132634,0.003945
132635,0.002126
132636,0.002562
132637,0.029792
132638,0.002972
132639,0.020330
132640,0.020215
132641,0.010480
132642,0.002420
132643,0.006305
132644,0.014528
132645,0.006507
132646,0.029334
132647,0.003015
132648,0.004336
132649,0.005392
132650,0.006217
132651,0.015645
132652,0.015959
132653,0.007210
132654,0.002116
132655,0.006420
132656,0.002958
132657,0.007920
132658,0.007492
132659,0.031184
132660,0.003969
132661,0.006108
132662,0.004858
132663,0.003131
132664,0.027526
132665,0.003608
132666,0.027297
132667,0.003381
132668,0.022243
132669,0.012511
132670,0.010497
132671,0.006599
132672,0.001121
132673,0.019460
132674,0.010338
132675,0.002018
132676,0.026673
132677,0.019107
132678,0.016701
132679,0.003222
132680,0.005582
132681,0.002138
132682,0.005208
132683,0.012614
132684,0.005364
132685,0.005120
132686,0.009469
132687,0.003355
132688,0.005659
132689,0.010746
132690,0.008706
132691,0.010494
132692,0.006028
132693,0.016835
132694,0.006396
132695,0.011832
132696,0.001717
132697,0.010643
132698,0.049819
132699,0.012130
132700,0.003335
132701,0.003977
132702,0.011408
132703,0.005581
132704,0.002652
132705,0.009477
132706,0.005826
132707,0.001637
132708,0.007471
132709,0.007409
132710,0.002141
132711,0.004921
132712,0.007567
132713,0.007800
132714,0.004488
132715,0.017442
132716,0.004585
132717,0.001809
132718,0.008773
132719,0.022577
132720,0.006065
132721,0.002365
132722,0.003335
132723,0.003137
132724,0.005050
132725,0.002740
132726,0.011796
132727,0.007235
132728,0.006031
132729,0.003186
132730,0.006490
132731,0.006024
132732,0.007481
132733,0.007206
132734,0.004303
132735,0.008063
132736,0.013579
132737,0.005552
132738,0.003506
132739,0.024021
132740,0.005008
132741,0.009440
132742,0.010852
132743,0.002645
132744,0.006750
132745,0.003066
132746,0.008407
132747,0.004540
132748,0.008626
132749,0.004614
132750,0.012471
132751,0.004133
132752,0.003930
132753,0.006934
132754,0.003280
132755,0.007409
132756,0.001468
132757,0.012081
132758,0.011664
132759,0.003051
132760,0.002470
132761,0.012033
132762,0.004086
132763,0.016154
132764,0.004047
132765,0.012052
132766,0.001812
132767,0.004918
132768,0.009049
132769,0.010465
132770,0.008647
132771,0.003963
132772,0.044582
132773,0.007505
132774,0.002623
132775,0.002077
132776,0.002440
132777,0.006393
132778,0.009873
132779,0.005561
132780,0.006201
132781,0.006209
132782,0.033919
132783,0.002248
132784,0.017473
132785,0.013306
132786,0.002386
132787,0.003110
132788,0.014520
132789,0.004549
132790,0.002226
132791,0.007493
132792,0.006163
132793,0.004237
132794,0.006685
132795,0.005460
132796,0.016564
132797,0.011622
132798,0.019930
132799,0.015709
132800,0.004207
132801,0.005849
132802,0.002240
132803,0.019157
132804,0.008938
132805,0.004541
132806,0.005073
132807,0.005386
132808,0.003297
132809,0.004257
132810,0.005422
132811,0.002421
132812,0.003840
132813,0.006591
132814,0.002782
132815,0.002973
132816,0.009491
132817,0.001651
132818,0.008452
132819,0.003218
132820,0.006810
132821,0.005648
132822,0.007554
132823,0.001977
132824,0.002383
132825,0.010775
132826,0.001558
132827,0.009630
132828,0.002442
132829,0.026151
132830,0.003884
132831,0.006367
132832,0.004529
132833,0.006519
132834,0.002708
132835,0.002629
132836,0.002550
132837,0.013796
132838,0.010494
132839,0.007390
132840,0.006542
132841,0.003254
132842,0.014746
132843,0.003706
132844,0.001744
132845,0.005799
132846,0.007930
132847,0.026505
132848,0.004572
132849,0.010342
132850,0.009412
132851,0.021762
132852,0.011777
132853,0.008584
132854,0.007079
132855,0.005446
132856,0.008803
132857,0.015411
132858,0.002970
132859,0.005298
132860,0.002986
132861,0.008006
132862,0.005858
132863,0.003316
132864,0.006422
132865,0.007324
132866,0.006579
132867,0.018755
132868,0.006821
132869,0.004543
132870,0.024780
132871,0.004842
132872,0.004323
132873,0.010481
132874,0.001819
132875,0.008673
132876,0.006154
132877,0.010539
132878,0.017392
132879,0.003031
132880,0.004937
132881,0.011722
132882,0.005442
132883,0.005913
132884,0.004003
132885,0.005555
132886,0.015375
132887,0.006549
132888,0.005536
132889,0.005857
132890,0.003350
132891,0.003052
132892,0.011063
132893,0.003797
132894,0.004868
132895,0.005940
132896,0.007360
132897,0.007685
132898,0.001780
132899,0.005238
132900,0.002094
132901,0.011297
132902,0.011263
132903,0.008652
132904,0.002914
132905,0.004424
132906,0.007397
132907,0.010392
132908,0.011607
132909,0.001777
132910,0.003849
132911,0.010576
132912,0.012102
132913,0.006095
132914,0.002722
132915,0.004790
132916,0.004488
132917,0.006855
132918,0.006769
132919,0.011993
132920,0.003413
132921,0.010881
132922,0.010833
132923,0.006044
132924,0.005476
132925,0.005768
132926,0.003899
132927,0.007860
132928,0.007466
132929,0.010898
132930,0.003211
132931,0.006553
132932,0.016052
132933,0.006120
132934,0.006376
132935,0.001251
132936,0.003342
132937,0.005766
132938,0.007858
132939,0.004846
132940,0.021044
132941,0.005122
132942,0.020165
132943,0.009173
132944,0.026399
132945,0.007887
132946,0.015916
132947,0.005010
132948,0.004120
132949,0.020963
132950,0.002241
132951,0.004037
132952,0.036617
132953,0.010026
132954,0.005895
132955,0.010343
132956,0.016628
132957,0.011054
132958,0.005209
132959,0.011885
132960,0.005441
132961,0.010245
132962,0.005549
132963,0.003906
132964,0.002966
132965,0.017831
132966,0.003318
132967,0.010394
132968,0.016585
132969,0.008408
132970,0.002137
132971,0.009637
132972,0.009264
132973,0.003864
132974,0.004268
132975,0.005849
132976,0.015280
132977,0.004255
132978,0.007691
132979,0.009056
132980,0.005290
132981,0.004484
132982,0.002328
132983,0.002659
132984,0.010027
132985,0.007294
132986,0.014894
132987,0.005634
132988,0.006744
132989,0.018624
132990,0.003498
132991,0.002724
132992,0.003234
132993,0.004383
132994,0.001335
132995,0.004655
132996,0.011455
132997,0.013128
132998,0.006045
132999,0.008564
133000,0.008398
133001,0.013689
133002,0.012734
133003,0.002439
133004,0.009422
133005,0.010335
133006,0.002445
133007,0.004874
133008,0.012185
133009,0.007230
133010,0.003391
133011,0.001913
133012,0.003276
133013,0.004254
133014,0.038446
133015,0.006296
133016,0.012407
133017,0.009857
133018,0.003026
133019,0.004314
133020,0.004956
133021,0.005637
133022,0.007756
133023,0.009662
133024,0.005388
133025,0.002520
133026,0.013586
133027,0.002282
133028,0.008439
133029,0.012000
133030,0.009092
133031,0.004517
133032,0.005913
133033,0.009116
133034,0.025962
133035,0.009309
133036,0.001605
133037,0.030039
133038,0.006360
133039,0.019295
133040,0.005184
133041,0.005966
133042,0.011259
133043,0.010017
133044,0.005910
133045,0.007905
133046,0.013364
133047,0.002269
133048,0.003302
133049,0.008026
133050,0.016068
133051,0.008269
133052,0.004632
133053,0.004949
133054,0.010900
133055,0.010373
133056,0.005044
133057,0.003380
133058,0.002655
133059,0.012763
133060,0.002320
133061,0.002188
133062,0.009229
133063,0.004552
133064,0.003160
133065,0.004491
133066,0.011568
133067,0.007305
133068,0.010213
133069,0.016344
133070,0.015676
133071,0.001711
133072,0.009073
133073,0.015603
133074,0.005087
133075,0.007902
133076,0.017442
133077,0.005791
133078,0.042169
133079,0.007044
133080,0.023539
133081,0.017896
133082,0.023952
133083,0.009117
133084,0.004961
133085,0.019766
133086,0.003120
133087,0.007491
133088,0.011633
133089,0.001786
133090,0.003572
133091,0.015316
133092,0.014822
133093,0.005503
133094,0.004759
133095,0.009094
133096,0.007483
133097,0.010436
133098,0.012958
133099,0.008280
133100,0.004195
133101,0.009655
133102,0.002989
133103,0.018818
133104,0.005045
133105,0.002258
133106,0.014525
133107,0.005737
133108,0.005557
133109,0.013441
133110,0.003657
133111,0.011039
133112,0.004435
133113,0.003497
133114,0.002406
133115,0.011682
133116,0.034620
133117,0.016719
133118,0.008627
133119,0.001912
133120,0.009739
133121,0.006504
133122,0.006064
133123,0.006439
133124,0.014200
133125,0.015913
133126,0.004336
133127,0.011474
133128,0.006302
133129,0.009197
133130,0.004538
133131,0.004905
133132,0.011263
133133,0.006197
133134,0.004909
133135,0.011102
133136,0.007666
133137,0.014699
133138,0.007010
133139,0.001983
133140,0.017452
133141,0.007063
133142,0.001549
133143,0.008611
133144,0.002211
133145,0.003901
133146,0.006838
133147,0.010795
133148,0.013360
133149,0.033653
133150,0.014728
133151,0.003747
133152,0.008922
133153,0.009773
133154,0.013793
133155,0.013253
133156,0.004562
133157,0.007062
133158,0.008082
133159,0.023132
133160,0.006691
133161,0.010043
133162,0.006711
133163,0.016489
133164,0.004020
133165,0.009663
133166,0.005523
133167,0.008109
133168,0.003451
133169,0.004948
133170,0.007514
133171,0.020142
133172,0.009976
133173,0.018300
133174,0.003257
133175,0.003925
133176,0.005276
133177,0.002227
133178,0.003827
133179,0.004146
133180,0.008831
133181,0.003934
133182,0.024637
133183,0.003349
133184,0.020840
133185,0.003546
133186,0.002198
133187,0.003548
133188,0.008490
133189,0.002090
133190,0.016810
133191,0.006321
133192,0.004668
133193,0.009600
133194,0.003232
133195,0.004927
133196,0.008350
133197,0.025106
133198,0.001428
133199,0.013158
133200,0.005210
133201,0.040891
133202,0.002504
133203,0.008300
133204,0.001311
133205,0.002191
133206,0.003766
133207,0.002491
133208,0.015939
133209,0.002060
133210,0.005688
133211,0.009894
133212,0.004027
133213,0.004283
133214,0.002052
133215,0.002082
133216,0.010943
133217,0.002145
133218,0.007983
133219,0.006420
133220,0.032176
133221,0.003034
133222,0.009682
133223,0.021547
133224,0.005032
133225,0.003056
133226,0.003745
133227,0.027085
133228,0.001642
133229,0.012649
133230,0.010767
133231,0.011670
133232,0.016119
133233,0.015236
133234,0.012696
133235,0.007165
133236,0.002938
133237,0.002309
133238,0.015842
133239,0.003907
133240,0.001765
133241,0.016015
133242,0.002352
133243,0.007610
133244,0.002715
133245,0.012142
133246,0.007231
133247,0.003357
133248,0.009296
133249,0.003187
133250,0.013236
133251,0.007625
133252,0.007945
133253,0.002843
133254,0.007285
133255,0.005440
133256,0.018913
133257,0.001493
133258,0.016335
133259,0.003936
133260,0.043641
133261,0.007266
133262,0.011006
133263,0.036378
133264,0.009613
133265,0.003996
133266,0.006252
133267,0.017058
133268,0.001341
133269,0.005870
133270,0.003397
133271,0.019805
133272,0.003496
133273,0.009388
133274,0.006374
133275,0.002762
133276,0.004669
133277,0.003558
133278,0.003601
133279,0.008811
133280,0.010083
133281,0.016239
133282,0.034075
133283,0.005760
133284,0.004197
133285,0.001656
133286,0.006984
133287,0.005408
133288,0.008398
133289,0.002986
133290,0.011217
133291,0.009503
133292,0.003970
133293,0.002557
133294,0.004050
133295,0.002894
133296,0.002853
133297,0.008427
133298,0.008421
133299,0.007631
133300,0.004319
133301,0.030331
133302,0.004441
133303,0.018979
133304,0.002490
133305,0.009311
133306,0.004579
133307,0.011125
133308,0.005494
133309,0.008197
133310,0.003200
133311,0.002756
133312,0.005614
133313,0.019413
133314,0.011814
133315,0.022333
133316,0.011838
133317,0.003318
133318,0.020853
133319,0.004700
133320,0.003313
133321,0.021899
133322,0.010039
133323,0.004103
133324,0.019833
133325,0.004046
133326,0.008881
133327,0.004039
133328,0.014715
133329,0.002729
133330,0.003398
133331,0.004978
133332,0.021401
133333,0.007909
133334,0.005911
133335,0.007562
133336,0.012573
133337,0.007027
133338,0.017505
133339,0.010640
133340,0.006701
133341,0.009658
133342,0.003201
133343,0.004483
133344,0.009516
133345,0.005882
133346,0.010643
133347,0.015305
133348,0.002036
133349,0.003770
133350,0.002269
133351,0.002685
133352,0.009483
133353,0.003020
133354,0.003092
133355,0.005354
133356,0.004316
133357,0.002331
133358,0.004486
133359,0.026090
133360,0.006703
133361,0.013383
133362,0.003212
