id,target
132030,0.005038
132031,0.017396
132032,0.005660
132033,0.004383
132034,0.028300
132035,0.009511
132036,0.003080
132037,0.019568
132038,0.029691
132039,0.011143
132040,0.003015
132041,0.022059
132042,0.005664
132043,0.004274
132044,0.009237
132045,0.003882
132046,0.016415
132047,0.018901
132048,0.013730
132049,0.008927
132050,0.002662
132051,0.004195
132052,0.010106
132053,0.004021
132054,0.002800
132055,0.005128
132056,0.003357
132057,0.004136
132058,0.001292
132059,0.011535
132060,0.003767
132061,0.009118
132062,0.004274
132063,0.040164
132064,0.006975
132065,0.011929
132066,0.003207
132067,0.009767
132068,0.014570
132069,0.003019
132070,0.004069
132071,0.015191
132072,0.011961
132073,0.001530
132074,0.005386
132075,0.019814
132076,0.003562
132077,0.005475
132078,0.014763
132079,0.003809
132080,0.009996
132081,0.004767
132082,0.005338
132083,0.005961
132084,0.004010
132085,0.012249
132086,0.003703
132087,0.020349
132088,0.003384
132089,0.005467
132090,0.009919
132091,0.014989
132092,0.005128
132093,0.003165
132094,0.029025
132095,0.005639
132096,0.028411
132097,0.001814
132098,0.022831
132099,0.008895
132100,0.002899
132101,0.006474
132102,0.002732
132103,0.005841
132104,0.009446
132105,0.003834
132106,0.002407
132107,0.022480
132108,0.005574
132109,0.013873
132110,0.004018
132111,0.020301
132112,0.003091
132113,0.004161
132114,0.005192
132115,0.017621
132116,0.014254
132117,0.033661
132118,0.006747
132119,0.005996
132120,0.003523
132121,0.003916
132122,0.011123
132123,0.004395
132124,0.003842
132125,0.004968
132126,0.023729
132127,0.036371
132128,0.002856
132129,0.002664
132130,0.012039
132131,0.015652
132132,0.012416
132133,0.006008
132134,0.004065
132135,0.003993
132136,0.004262
132137,0.004311
132138,0.026066
132139,0.002258
132140,0.011447
132141,0.008914
132142,0.006435
132143,0.012850
132144,0.005215
132145,0.004456
132146,0.003041
132147,0.016676
132148,0.007141
132149,0.002972
132150,0.014526
132151,0.013398
132152,0.001628
132153,0.009178
132154,0.010649
132155,0.005052
132156,0.006761
132157,0.010435
132158,0.017223
132159,0.006789
132160,0.003982
132161,0.015480
132162,0.024243
132163,0.022885
132164,0.007815
132165,0.002665
132166,0.006590
132167,0.004134
132168,0.032688
132169,0.008659
132170,0.007258
132171,0.003803
132172,0.003672
132173,0.008162
132174,0.004170
132175,0.014720
132176,0.002819
132177,0.005723
132178,0.008037
132179,0.008279
132180,0.005465
132181,0.004032
132182,0.002270
132183,0.005426
132184,0.013136
132185,0.018471
132186,0.006727
132187,0.011897
132188,0.005770
132189,0.010382
132190,0.005239
132191,0.011988
132192,0.004125
132193,0.031193
132194,0.014157
132195,0.003639
132196,0.002045
132197,0.004497
132198,0.012094
132199,0.002293
132200,0.003486
132201,0.003976
132202,0.019856
132203,0.009653
132204,0.005969
132205,0.012467
132206,0.002330
132207,0.014155
132208,0.008414
132209,0.017993
132210,0.007513
132211,0.001930
132212,0.007697
132213,0.004584
132214,0.004239
132215,0.011302
132216,0.012774
132217,0.011414
132218,0.007066
132219,0.014872
132220,0.003274
132221,0.002972
132222,0.022380
132223,0.009338
132224,0.010943
132225,0.002537
132226,0.006319
132227,0.010756
132228,0.007577
132229,0.011129
132230,0.005047
132231,0.006618
132232,0.003728
132233,0.001093
132234,0.023391
132235,0.012019
132236,0.002584
132237,0.005961
132238,0.002929
132239,0.011693
132240,0.007503
132241,0.005752
132242,0.005437
132243,0.014073
132244,0.003618
132245,0.003807
132246,0.009902
132247,0.006318
132248,0.010587
132249,0.001501
132250,0.026840
132251,0.003339
132252,0.013951
132253,0.007742
132254,0.001553
132255,0.018572
132256,0.010412
132257,0.003240
132258,0.005756
132259,0.002029
132260,0.004704
132261,0.003963
132262,0.001868
132263,0.003262
132264,0.002760
132265,0.010269
132266,0.003293
132267,0.003192
132268,0.004553
132269,0.002430
132270,0.007804
132271,0.003454
132272,0.010823
132273,0.017947
132274,0.012911
132275,0.004738
132276,0.004753
132277,0.005005
132278,0.003054
132279,0.006960
132280,0.003637
132281,0.012252
132282,0.008952
132283,0.024290
132284,0.017374
132285,0.014597
132286,0.003028
132287,0.004451
132288,0.009564
132289,0.007338
132290,0.021567
132291,0.002726
132292,0.004635
132293,0.004858
132294,0.003843
132295,0.006824
132296,0.006880
132297,0.004958
132298,0.004115
132299,0.004923
132300,0.019053
132301,0.013177
132302,0.009272
132303,0.002728
132304,0.002509
132305,0.005203
132306,0.012865
132307,0.010040
132308,0.006836
132309,0.004624
132310,0.017595
132311,0.040941
132312,0.003659
132313,0.004259
132314,0.006576
132315,0.008785
132316,0.011934
132317,0.015577
132318,0.015556
132319,0.007885
132320,0.004294
132321,0.003744
132322,0.006593
132323,0.008080
132324,0.003916
132325,0.003367
132326,0.012450
132327,0.008314
132328,0.008742
132329,0.005921
132330,0.004283
132331,0.002227
132332,0.002849
132333,0.012052
132334,0.003376
132335,0.017873
132336,0.004543
132337,0.008174
132338,0.003317
132339,0.015111
132340,0.004726
132341,0.011670
132342,0.003605
132343,0.005230
132344,0.006171
132345,0.020688
132346,0.014270
132347,0.009361
132348,0.001866
132349,0.017620
132350,0.016360
132351,0.001680
132352,0.006443
132353,0.036085
132354,0.006077
132355,0.003484
132356,0.024012
132357,0.003822
132358,0.012885
132359,0.001608
132360,0.001776
132361,0.001456
132362,0.004154
132363,0.015411
132364,0.011040
132365,0.006027
132366,0.003333
132367,0.011134
132368,0.006928
132369,0.010879
132370,0.009583
132371,0.044959
132372,0.004069
132373,0.006117
132374,0.003873
132375,0.003195
132376,0.007716
132377,0.009485
132378,0.007363
132379,0.005487
132380,0.002399
132381,0.008404
132382,0.007639
132383,0.004132
132384,0.005875
132385,0.005830
132386,0.004838
132387,0.005696
132388,0.021639
132389,0.004347
132390,0.007500
132391,0.001875
132392,0.007761
132393,0.004745
132394,0.003086
132395,0.004888
132396,0.002888
132397,0.004428
132398,0.002790
132399,0.004860
132400,0.009728
132401,0.007161
132402,0.001512
132403,0.008407
132404,0.004168
132405,0.006017
132406,0.010000
132407,0.010462
132408,0.005353
132409,0.006377
132410,0.005267
132411,0.011214
132412,0.005165
132413,0.004859
132414,0.015213
132415,0.005677
132416,0.005619
132417,0.007603
132418,0.004265
132419,0.013019
132420,0.003655
132421,0.006487
132422,0.010976
132423,0.013123
132424,0.004215
132425,0.016225
132426,0.013883
132427,0.004372
132428,0.001792
132429,0.005702
132430,0.001961
132431,0.011212
132432,0.005038
132433,0.004297
132434,0.010460
132435,0.002916
132436,0.013094
132437,0.014669
132438,0.014961
132439,0.004751
132440,0.005923
132441,0.005209
132442,0.005080
132443,0.006578
132444,0.012185
132445,0.009695
132446,0.003565
132447,0.034696
132448,0.003625
132449,0.003475
132450,0.007617
132451,0.004243
132452,0.014904
132453,0.002685
132454,0.003112
132455,0.003472
132456,0.004558
132457,0.010170
132458,0.012510
132459,0.008949
132460,0.031975
132461,0.002313
132462,0.011924
132463,0.007548
132464,0.001292
132465,0.003783
132466,0.002748
132467,0.015262
132468,0.038156
132469,0.002578
132470,0.003975
132471,0.005270
132472,0.002695
132473,0.005750
132474,0.006065
132475,0.005985
132476,0.003609
132477,0.013163
132478,0.005941
132479,0.002114
132480,0.005865
132481,0.004457
